timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808842788,1922,HTTP Request,200,OK,Thread Group 1-2,text,true,,97818,272,30,30,https://karaokeivan.com/index.php/login/,356,0,200
1773808842788,356,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,1220,136,30,30,http://karaokeivan.com/index.php/login/,356,0,200
1773808843146,1564,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,96598,136,30,30,https://karaokeivan.com/index.php/login/,987,0,324
1773808842898,1966,HTTP Request,200,OK,Thread Group 1-3,text,true,,97810,272,31,31,https://karaokeivan.com/index.php/login/,335,0,167
1773808842898,335,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1220,136,31,31,http://karaokeivan.com/index.php/login/,335,0,167
1773808843234,1630,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,96590,136,31,31,https://karaokeivan.com/index.php/login/,1196,0,362
1773808843304,1899,HTTP Request,200,OK,Thread Group 1-7,text,true,,97817,272,33,33,https://karaokeivan.com/index.php/login/,311,0,155
1773808843304,311,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,1220,136,33,33,http://karaokeivan.com/index.php/login/,311,0,155
1773808843616,1587,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,96597,136,33,33,https://karaokeivan.com/index.php/login/,1012,0,351
1773808842687,2545,HTTP Request,200,OK,Thread Group 1-1,text,true,,97818,272,33,33,https://karaokeivan.com/index.php/login/,452,0,295
1773808842687,452,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,1220,136,33,33,http://karaokeivan.com/index.php/login/,452,0,295
1773808843141,2091,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,96598,136,33,33,https://karaokeivan.com/index.php/login/,1518,0,353
1773808843506,1830,HTTP Request,200,OK,Thread Group 1-9,text,true,,97810,272,33,33,https://karaokeivan.com/index.php/login/,313,0,156
1773808843506,313,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,1220,136,33,33,http://karaokeivan.com/index.php/login/,313,0,156
1773808843820,1516,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,96590,136,33,33,https://karaokeivan.com/index.php/login/,1131,0,326
1773808842990,2374,HTTP Request,200,OK,Thread Group 1-4,text,true,,97817,272,32,32,https://karaokeivan.com/index.php/login/,337,0,168
1773808842990,337,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,1220,136,32,32,http://karaokeivan.com/index.php/login/,337,0,168
1773808843328,2036,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,96597,136,32,32,https://karaokeivan.com/index.php/login/,1480,0,324
1773808843896,1853,HTTP Request,200,OK,Thread Group 1-13,text,true,,97810,272,35,35,https://karaokeivan.com/index.php/login/,334,0,170
1773808843896,334,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,1220,136,35,35,http://karaokeivan.com/index.php/login/,334,0,170
1773808844231,1518,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,96590,136,35,35,https://karaokeivan.com/index.php/login/,1133,0,331
1773808843996,1846,HTTP Request,200,OK,Thread Group 1-14,text,true,,97810,272,35,35,https://karaokeivan.com/index.php/login/,308,0,155
1773808843996,308,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,1220,136,35,35,http://karaokeivan.com/index.php/login/,308,0,155
1773808844305,1537,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,96590,136,35,35,https://karaokeivan.com/index.php/login/,1141,0,335
1773808843100,2858,HTTP Request,200,OK,Thread Group 1-5,text,true,,97818,272,35,35,https://karaokeivan.com/index.php/login/,313,0,151
1773808843100,313,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,1220,136,35,35,http://karaokeivan.com/index.php/login/,313,0,151
1773808843414,2544,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,96598,136,35,35,https://karaokeivan.com/index.php/login/,1994,0,352
1773808843224,2835,HTTP Request,200,OK,Thread Group 1-6,text,true,,97810,272,35,35,https://karaokeivan.com/index.php/login/,304,0,153
1773808843224,304,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,1220,136,35,35,http://karaokeivan.com/index.php/login/,304,0,153
1773808843529,2530,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,96590,136,35,35,https://karaokeivan.com/index.php/login/,2141,0,331
1773808844412,1863,HTTP Request,200,OK,Thread Group 1-18,text,true,,97817,272,36,36,https://karaokeivan.com/index.php/login/,345,0,173
1773808844412,345,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,1220,136,36,36,http://karaokeivan.com/index.php/login/,345,0,173
1773808844758,1517,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,96597,136,36,36,https://karaokeivan.com/index.php/login/,973,0,314
1773808844611,1827,HTTP Request,200,OK,Thread Group 1-20,text,true,,97811,272,37,37,https://karaokeivan.com/index.php/login/,335,0,165
